step,time,cycle,phase,leg,event,forward_velocity,lateral_velocity,yaw_rate_deg_s
0,0.0,0,0.0,R1-R4,touchdown,-8.532400471468325e-12,2.8686630451835356e-10,5.218447113307071e-10
0,0.0,0,0.0,R2-R3,touchdown,-8.532400471468325e-12,2.8686630451835356e-10,5.218447113307071e-10
0,0.0,0,0.0,L1-L3,touchdown,-8.532400471468325e-12,2.8686630451835356e-10,5.218447113307071e-10
0,0.0,0,0.0,L2-L4,touchdown,-8.532400471468325e-12,2.8686630451835356e-10,5.218447113307071e-10
1,0.02,0,0.030000000000000002,R1-R4,liftoff,-1.1173129979790495e-05,-0.030904794213079373,-0.0040024776391807135
1,0.02,0,0.030000000000000002,R2-R3,liftoff,-1.1173129979790495e-05,-0.030904794213079373,-0.0040024776391807135
1,0.02,0,0.030000000000000002,L1-L3,liftoff,-1.1173129979790495e-05,-0.030904794213079373,-0.0040024776391807135
1,0.02,0,0.030000000000000002,L2-L4,liftoff,-1.1173129979790495e-05,-0.030904794213079373,-0.0040024776391807135
2,0.04,0,0.060000000000000005,R1-R4,touchdown,6.800943443786167e-05,-0.055077810891237006,-0.07285072858397353
2,0.04,0,0.060000000000000005,R2-R3,touchdown,6.800943443786167e-05,-0.055077810891237006,-0.07285072858397353
3,0.06,0,0.09,R1-R4,liftoff,0.0001445477967545655,-0.054652648063554854,0.10059967251158669
3,0.06,0,0.09,R2-R3,liftoff,0.0001445477967545655,-0.054652648063554854,0.10059967251158669
4,0.08,0,0.12000000000000001,R1-R4,touchdown,-0.017213281079418323,-0.05980825597500642,19.08105363055972
4,0.08,0,0.12000000000000001,R2-R3,touchdown,-0.017213281079418323,-0.05980825597500642,19.08105363055972
5,0.1,0,0.15000000000000002,R1-R4,liftoff,-0.014419184570888505,-0.002009381051132397,-6.804076456421298
6,0.12,0,0.18,R1-R4,touchdown,-0.0053832195497625825,-0.025119133246263005,-11.479789987028642
6,0.12,0,0.18,L1-L3,touchdown,-0.0053832195497625825,-0.025119133246263005,-11.479789987028642
6,0.12,0,0.18,L2-L4,touchdown,-0.0053832195497625825,-0.025119133246263005,-11.479789987028642
7,0.14,0,0.21000000000000002,R1-R4,liftoff,-0.005979151420745697,-0.15315035998391172,4.713383778053561
7,0.14,0,0.21000000000000002,R2-R3,liftoff,-0.005979151420745697,-0.15315035998391172,4.713383778053561
7,0.14,0,0.21000000000000002,L1-L3,liftoff,-0.005979151420745697,-0.15315035998391172,4.713383778053561
7,0.14,0,0.21000000000000002,L2-L4,liftoff,-0.005979151420745697,-0.15315035998391172,4.713383778053561
8,0.16,0,0.24000000000000002,R1-R4,touchdown,-0.006840312567967232,-0.14571277113509598,14.414894986657725
8,0.16,0,0.24000000000000002,R2-R3,touchdown,-0.006840312567967232,-0.14571277113509598,14.414894986657725
