geom_id,geom_name,body_id,body_name,leg
0,floor,0,world,
1,target_visual,1,target,
2,,2,obstacle_0,
3,,3,obstacle_1,
4,body_collision,4,base,
5,internal_frame_visual,4,base,
6,bottom_cover_visual,4,base,
7,top_cover_visual,4,base,
8,r1_visual,5,r1_link,R1-R4
9,r1_collision,5,r1_link,R1-R4
10,r3_visual,6,r3_link,R1-R4
11,r3_shin,6,r3_link,R1-R4
12,r3_foot,6,r3_link,R1-R4
13,r2_visual,7,r2_link,R2-R3
14,r2_collision,7,r2_link,R2-R3
15,r4_visual,8,r4_link,R2-R3
16,r4_shin,8,r4_link,R2-R3
17,r4_foot,8,r4_link,R2-R3
18,l1_visual,9,l1_link,L1-L3
19,l1_collision,9,l1_link,L1-L3
20,l3_visual,10,l3_link,L1-L3
21,l3_shin,10,l3_link,L1-L3
22,l3_foot,10,l3_link,L1-L3
23,l2_visual,11,l2_link,L2-L4
24,l2_collision,11,l2_link,L2-L4
25,l4_visual,12,l4_link,L2-L4
26,l4_shin,12,l4_link,L2-L4
27,l4_foot,12,l4_link,L2-L4
