phase_bin,phase_start,phase_end,phase_center,samples,mean_forward_velocity,mean_lateral_velocity,mean_yaw_rate_deg_s,R1-R4_contact_probability,R1-R4_mean_normal_force,R2-R3_contact_probability,R2-R3_mean_normal_force,L1-L3_contact_probability,L1-L3_mean_normal_force,L2-L4_contact_probability,L2-L4_mean_normal_force
0,0.0,0.05,0.025,50,-0.0004071176313268769,0.08299323515851953,15.743881388099659,0.3,0.9055424480209362,0.24,0.6875376702027038,0.3,0.7658056841216906,0.28,0.8918337895342193
1,0.05,0.1,0.07500000000000001,50,-0.012704814349878461,0.05110913112929587,43.13317261212198,0.38,0.9227079406733617,0.36,0.9181278697320845,0.26,0.9781609576571024,0.28,0.9778529170595582
2,0.1,0.15,0.125,51,-0.010575522704011624,0.005571744609089142,21.671079710139743,0.35294117647058826,0.8857938287592271,0.3333333333333333,1.0469647428848605,0.4117647058823529,1.632847854463952,0.3137254901960784,1.0490648127383124
3,0.15,0.2,0.175,49,-0.024509025099619056,-0.05298956779088803,-0.09041077252060095,0.3877551020408163,0.9696476955339468,0.4897959183673469,1.3515107340095787,0.22448979591836735,0.8528386293480332,0.2653061224489796,1.1419409502212539
4,0.2,0.25,0.225,50,-0.009481080973617042,-0.0558195119714666,-5.701057825672998,0.46,1.3250269585467558,0.42,1.2961274904296232,0.34,1.2137301898817616,0.3,1.0850487650866067
5,0.25,0.3,0.275,51,-0.0025717012622477934,-0.04678473904481064,-6.44935209342887,0.5294117647058824,1.249146753115823,0.5294117647058824,1.2258928792853243,0.21568627450980393,0.4985517598298008,0.19607843137254902,0.4667244983654142
6,0.3,0.35,0.32499999999999996,50,0.004551019570988013,-0.005426099834135361,-2.963901333505217,0.78,1.2099974912011284,0.74,1.248571745132737,0.48,0.7783526161430453,0.42,0.6226839320787133
7,0.35,0.4,0.375,49,-0.0024840018262810345,0.011751716298508609,2.3415869865386245,0.5714285714285714,0.658229695822799,0.5714285714285714,0.6894348806481869,0.1836734693877551,0.32592706608732125,0.22448979591836735,0.3289182944287873
8,0.4,0.45,0.42500000000000004,50,0.007787763311077973,-0.001812663378896976,-18.0955640062392,0.4,0.551480696783366,0.34,0.5123093212071109,0.24,0.7812995098064889,0.28,0.9335408005818218
9,0.45,0.5,0.475,50,0.014643139664006748,-0.03803208491949749,-22.75911042490352,0.3,0.6108389306500576,0.28,0.51467134062865,0.12,0.2924615211572955,0.14,0.3107211123301427
10,0.5,0.55,0.525,50,0.015327291873141746,-0.011339579695611286,-10.052665264281352,0.22,0.7036593456972337,0.3,0.7304697267168214,0.32,0.9621783084853225,0.3,0.9684520622884516
11,0.55,0.6,0.575,51,0.013348977806320416,0.029339148249789816,-18.28403846256106,0.35294117647058826,1.3853762925512643,0.3333333333333333,1.2119238342582133,0.3137254901960784,0.8262227946169952,0.27450980392156865,0.7945823827451125
12,0.6,0.65,0.625,49,-0.0053073175879590415,0.07602140654179806,2.411293479925837,0.3673469387755102,1.4775220754539966,0.22448979591836735,0.952994591895801,0.2857142857142857,0.7701139420398201,0.30612244897959184,0.9089010935846741
13,0.65,0.7,0.675,50,-0.0016409653054618625,0.10262336837360694,37.659318127997174,0.38,1.4901563919767267,0.36,1.3389512907567107,0.38,1.2869681209685537,0.32,0.908523801519607
14,0.7,0.75,0.725,50,0.0010983273657157078,0.14125096555544153,0.5006952609296517,0.3,0.9392214050910102,0.28,0.9114006019181593,0.32,0.7740278267227504,0.32,0.8241925784597179
15,0.75,0.8,0.775,50,-0.008134878541201027,0.10733631274374032,20.339006762956576,0.24,0.5129002641727404,0.3,0.6315980080031354,0.46,1.0877502340744007,0.46,1.0905663834300183
16,0.8,0.85,0.825,50,-0.005455035196092747,0.03901180802595492,3.1395818191977862,0.58,0.8531271779642075,0.58,0.9169236941046597,0.58,1.0535039296011728,0.62,1.064639096493451
17,0.85,0.9,0.875,50,0.003038296101627777,-0.0020410860652893157,-0.30579055779658426,0.34,0.47418962418361515,0.36,0.5824568934196064,0.3,0.36068412288499785,0.28,0.3540001051823973
18,0.9,0.95,0.925,50,0.003582047031666969,0.04493841748688862,-5.500565969150469,0.12,0.29240750630227114,0.12,0.324278543544801,0.3,0.5426413881575088,0.34,0.5824274209713459
19,0.95,1.0,0.975,50,-5.934713725348706e-05,0.09526631559668418,6.926910030846176,0.16,0.5176702533159038,0.22,0.6403393655623641,0.26,0.7061887073414576,0.24,0.5275627222054137
