#{"t_start": 1790147622.124229, "env_id": "None"}
r,l,t
-168.625279,1000,4.436262
-225.391323,1000,5.777137
-205.173887,1000,9.650183
-213.212155,1000,11.008539
-204.390634,1000,13.96595
-193.318839,1000,15.333792
-174.078287,1000,18.365741
-184.904077,1000,19.716331
-175.35565,1000,22.513703
-177.926062,1000,23.886372
-126.711384,1000,31.57698
-162.736732,1000,32.942158
-200.190878,1000,36.187439
-158.053958,1000,37.618204
-111.598209,1000,40.724304
-139.066562,1000,42.13835
-168.270688,1000,45.494266
-186.028635,1000,47.072836
-104.198203,1000,50.261692
-156.858031,1000,51.669275
-108.250424,1000,60.373104
-125.207143,1000,61.917058
-130.37658,1000,65.254981
-154.734212,1000,66.689169
-157.965309,1000,69.979615
-91.316312,1000,71.321954
-131.498971,1000,74.498102
-122.604019,1000,75.945361
-170.992205,1000,79.235008
-123.204987,1000,80.565158
-133.414558,1000,88.550503
-107.439951,1000,89.981323
-87.861696,1000,93.18137
-61.06569,1000,94.555317
-94.374563,1000,97.66911
-68.03121,1000,99.023398
-125.918097,1000,102.273117
-93.445699,1000,103.634004
-61.55832,1000,106.748202
-92.953571,1000,108.111084
-38.964806,1000,115.950805
-50.837021,1000,117.373496
-90.801263,1000,118.730462
-59.733326,1000,121.832255
-88.473879,1000,123.174794
-53.219152,1000,126.462208
-50.675542,1000,127.795629
-84.40162,1000,130.872267
-69.109211,1000,132.218272
-61.474539,1000,135.355962
-5.00269,1000,141.718446
-50.834447,1000,144.841294
-125.103918,1000,146.201021
-34.615464,1000,149.334928
-65.932706,1000,150.707247
-53.234053,1000,153.846224
14.499938,1000,155.184231
-18.7581,1000,158.340454
17.615553,1000,159.682215
2.001502,1000,162.814673
-13.724966,1000,168.952893
-58.87422,1000,172.101955
-61.058467,1000,173.449768
-25.82616,1000,176.965009
-13.228222,1000,178.294343
-13.203525,1000,181.753435
-80.738518,1000,183.085895
10.914837,1000,186.226421
18.554987,1000,187.54363
31.939646,1000,190.529166
8.465928,1000,196.661871
-70.648143,1000,199.660621
18.913169,1000,201.001809
-37.330933,1000,204.034816
6.755683,1000,205.378787
-4.825017,1000,208.488158
35.967323,1000,209.844893
-11.427918,1000,212.997286
-17.785336,1000,214.35053
-0.463326,1000,217.508118
6.142156,1000,223.822502
32.238658,1000,227.312972
-51.531019,1000,228.656794
4.780751,1000,231.734272
5.195146,1000,233.061781
24.123595,1000,234.417422
27.196912,1000,237.542625
18.166175,1000,238.880152
8.360406,1000,241.955948
54.831757,1000,243.281631
-6.891898,1000,251.853277
-2.579807,1000,253.177351
21.901791,1000,256.305799
75.417738,1000,257.627102
31.521357,1000,260.782793
73.371602,1000,262.112524
-53.164545,1000,265.235813
54.680273,1000,266.608823
-89.432019,1000,269.762341
101.790544,1000,271.105554
35.527685,1000,279.03561
-137.766405,1000,280.444862
74.966213,1000,283.470753
91.303302,1000,284.873994
-43.938075,1000,288.07677
60.056189,1000,289.416865
5.383382,1000,292.68143
72.072097,1000,294.111502
37.630517,1000,297.265662
90.995353,1000,298.619238
99.544743,1000,307.05273
70.036394,1000,308.500862
69.407846,1000,311.734124
105.299297,1000,313.213861
74.432323,1000,316.387126
78.921862,1000,317.902109
70.528673,1000,320.949698
74.024475,1000,322.358395
94.466228,1000,325.542724
53.906123,1000,327.014061
-104.122189,1000,335.276113
-73.820677,1000,336.778749
55.98852,1000,340.211662
81.398094,1000,341.749235
-111.247542,1000,345.242078
18.649313,1000,346.856744
61.841572,1000,350.337727
-84.120979,1000,352.027905
99.807484,1000,353.677399
-123.896352,1000,357.239974
77.618168,1000,364.131099
84.167538,1000,367.167546
83.825337,1000,368.768603
12.81236,1000,372.275649
66.003137,1000,373.765533
121.387454,1000,376.710582
123.070122,1000,378.204402
147.500952,1000,381.628085
99.961446,1000,383.144707
91.004737,1000,386.41939
112.868808,1000,393.808643
63.541915,1000,397.231751
106.616851,1000,398.865092
108.411653,1000,402.109432
122.287696,1000,403.608145
88.885668,1000,406.776202
-21.035825,1000,408.22302
54.802226,1000,411.35832
153.957145,1000,412.908849
121.788093,1000,416.168088
123.122653,1000,423.076117
98.025517,1000,426.065159
38.490737,1000,427.562357
141.175678,1000,430.298121
136.059451,1000,431.729895
-2.792985,1000,434.849356
106.085782,1000,436.338261
124.06645,1000,439.54582
138.493553,1000,441.032026
120.039312,1000,443.997713
123.793435,1000,451.56426
55.038993,1000,454.923821
-42.426156,1000,456.442268
-64.761818,1000,459.751586
146.516977,1000,461.491193
88.45321,1000,464.627137
90.615321,1000,466.3302
123.194164,1000,469.880902
105.164277,1000,471.282272
139.677392,1000,474.372824
116.700539,1000,480.426453
87.280731,1000,481.796283
71.795844,1000,484.813902
64.031442,1000,486.152329
67.683631,1000,489.543525
91.580968,1000,491.054263
31.280953,1000,494.319099
166.358659,1000,495.941763
96.584635,1000,499.529079
108.954518,1000,501.261402
42.739077,1000,510.121544
135.848814,1000,511.707527
147.88062,1000,515.195157
159.803193,1000,516.610916
22.098226,1000,519.74564
144.601124,1000,521.193925
128.705666,1000,524.389296
126.424068,1000,525.754986
84.267947,1000,528.910551
137.106999,1000,530.249658
145.292305,1000,537.947505
125.654188,1000,539.30875
143.168621,1000,542.394578
172.431868,1000,543.764269
189.453649,1000,546.850348
108.812769,1000,548.196331
-75.469424,1000,551.354154
121.127775,1000,552.747888
-90.646018,1000,556.229811
38.769516,1000,557.662886
138.012577,1000,565.433813
133.689307,1000,566.795856
209.536152,1000,570.045629
-2.453158,1000,571.405652
155.676275,1000,574.557641
-28.554012,1000,576.165507
156.19378,1000,579.56187
157.487182,1000,580.979074
208.371035,1000,584.353886
88.381952,1000,585.846883
4.054652,1000,594.763534
157.837172,1000,596.3103
103.971533,1000,599.534391
177.426769,1000,601.022987
148.519448,1000,602.606264
133.356935,1000,605.438554
-82.937471,1000,606.917422
172.279128,1000,610.025029
176.905979,1000,611.42361
118.997089,1000,614.510173
167.340104,1000,620.591071
23.173578,1000,623.887495
142.989438,1000,625.226765
137.64759,1000,628.348989
169.900341,1000,629.676754
64.139132,1000,632.763872
155.457809,1000,634.117105
175.025886,1000,637.201318
196.319236,1000,638.539977
88.984585,1000,641.668724
127.212525,1000,647.786113
103.50824,1000,651.106821
230.493321,1000,652.459737
132.977776,1000,655.643115
219.268168,1000,656.97577
174.586676,1000,660.332314
-16.93356,1000,661.685004
195.963697,1000,664.729292
162.447581,1000,666.080117
191.943328,1000,669.155751
184.169602,1000,675.268126
198.183686,1000,678.337901
161.516552,1000,679.736165
48.237996,1000,682.908924
113.356952,1000,684.290058
86.687534,1000,687.243971
199.603609,1000,688.636697
175.738908,1000,691.714909
78.214098,1000,693.075214
191.430368,1000,696.165269
8.865721,1000,702.360654
147.372176,1000,705.39878
188.630688,1000,706.755177
-128.568635,1000,709.96332
155.476038,1000,711.321616
186.707034,1000,712.710284
10.319786,1000,715.99281
37.487751,1000,717.350984
-34.479873,1000,720.615422
122.870787,1000,721.948892
141.905418,1000,729.786176
184.439036,1000,731.142796
166.599633,1000,734.379455
149.890937,1000,735.731486
196.173802,1000,739.144157
155.217353,1000,740.494814
166.752708,1000,743.727397
169.860333,1000,745.060509
175.115503,1000,748.020893
207.553759,1000,749.359699
180.759894,1000,757.130438
199.312493,1000,758.448833
201.491894,1000,761.474118
25.429724,1000,762.838655
173.290724,1000,765.884914
84.281741,1000,767.223644
183.481853,1000,770.282888
169.033183,1000,771.614033
139.164359,1000,774.657827
-9.719432,1000,776.001139
108.360212,1000,783.828373
118.899453,1000,785.157524
68.121806,1000,788.235116
179.896237,1000,789.550088
203.254511,1000,792.771613
169.075349,1000,794.095466
69.917576,1000,797.151845
223.320784,1000,798.47496
206.807915,1000,801.895427
199.704315,1000,803.219511
44.390369,1000,811.065034
178.060183,1000,812.4118
173.835041,1000,815.526276
94.76009,1000,816.865589
204.732719,1000,819.943776
176.098749,1000,821.260551
33.302684,1000,824.174566
150.23474,1000,825.504661
162.868047,1000,826.821995
120.131066,1000,829.90395
167.973141,1000,836.184684
