#{"t_start": 1790149011.3405082, "env_id": "None"}
r,l,t
-618.962657,1000,2.792976
-665.55754,1000,4.153125
-635.450952,1000,7.759878
-601.279455,1000,9.213505
-672.388932,1000,12.551234
-664.350624,1000,13.850418
-640.676434,1000,17.214359
-642.680815,1000,18.707666
-650.815708,1000,21.674716
-628.87014,1000,23.123515
-686.969936,1000,26.345533
-645.981978,1000,27.801687
-639.351819,1000,30.969574
-622.33636,1000,32.354433
-618.255232,1000,35.445212
-600.484477,1000,36.774019
-598.171416,1000,40.18687
-597.824135,1000,41.543918
-544.588888,1000,44.833876
-592.309691,1000,46.159367
-585.084697,1000,49.657581
-585.07265,1000,51.052713
-547.532639,1000,54.561261
-578.262073,1000,55.887159
-542.453664,1000,58.918573
-532.251311,1000,60.260581
-613.765991,1000,63.400635
-594.662541,1000,64.898612
-566.379176,1000,68.204288
-489.236471,1000,69.557695
-492.803254,1000,72.750805
-539.455539,1000,74.167092
-586.132373,1000,77.012125
-563.017232,1000,78.401238
-520.588675,1000,81.686581
-496.135562,1000,83.106319
-506.444571,1000,86.209954
-537.096482,1000,87.539215
-507.651468,1000,90.410192
-511.935894,1000,91.893169
-544.678858,1000,95.011981
-593.832944,1000,96.339142
-535.802655,1000,97.649405
-529.299213,1000,100.602184
-511.583413,1000,101.998241
-513.282372,1000,104.524849
-458.499619,1000,105.88356
-459.256511,1000,108.798571
-467.496614,1000,110.317545
-460.69073,1000,113.400599
-468.890618,1000,114.861268
-458.191801,1000,118.30917
-520.291824,1000,119.975356
-469.099721,1000,123.404082
-462.480454,1000,125.044025
-427.476602,1000,128.338273
-456.854345,1000,129.802658
-430.106407,1000,133.020061
-453.768135,1000,134.406861
-486.62005,1000,137.270533
-446.132522,1000,138.680497
-427.472531,1000,141.805709
-450.227412,1000,143.303051
-435.426309,1000,146.764746
-467.159979,1000,148.404111
-481.691877,1000,151.763059
-434.791561,1000,153.29383
-432.921334,1000,156.421852
-462.21006,1000,157.852679
-405.282479,1000,161.058575
-401.790881,1000,162.589707
-498.280358,1000,165.733509
-487.867077,1000,167.129233
-390.761829,1000,170.011224
-377.301186,1000,171.360687
-397.843874,1000,174.922291
-353.644462,1000,176.418824
-413.797315,1000,179.640138
-410.910607,1000,181.076241
-363.369045,1000,184.304927
-378.898455,1000,185.716495
-409.259778,1000,188.797244
-420.864937,1000,190.133412
-406.16763,1000,193.12182
-350.282057,1000,194.546794
-442.745593,1000,195.926927
-309.686288,1000,198.959582
-342.343513,1000,200.425288
-359.221204,1000,203.831301
-326.769842,1000,205.27319
-348.424433,1000,208.774191
-338.342769,1000,210.453182
-330.851436,1000,213.667466
-332.203952,1000,215.042347
-343.280202,1000,218.322536
-344.09984,1000,219.66909
-351.622484,1000,222.914542
-376.413124,1000,224.454381
-324.751706,1000,227.565104
-323.026634,1000,229.03126
-378.71895,1000,232.599451
-347.278197,1000,234.170166
-343.167043,1000,237.636101
-330.652268,1000,239.170589
-320.448743,1000,242.596642
-401.116407,1000,244.126249
-254.848177,1000,247.512432
-413.800475,1000,248.912384
-362.821787,1000,252.341526
-301.242255,1000,253.854773
-336.813713,1000,256.993222
-293.812906,1000,258.427837
-323.240905,1000,261.26242
-383.187808,1000,262.677418
-294.562232,1000,266.176818
-271.40959,1000,267.536589
-379.069056,1000,271.093574
-489.991238,1000,272.492169
-380.981762,1000,275.599316
-250.159705,1000,276.941584
-318.919388,1000,280.188329
-265.606349,1000,281.514954
-254.758564,1000,285.095366
-208.600819,1000,286.506902
-341.070519,1000,289.440182
-311.138972,1000,290.970726
-256.9536,1000,293.748953
-277.898532,1000,295.228793
-260.395283,1000,296.700801
-254.898198,1000,299.80218
-262.937689,1000,301.226704
-249.604566,1000,304.557396
-487.986771,1000,306.084429
-344.779203,1000,308.994205
-308.642855,1000,310.327698
-421.064251,1000,313.181266
-435.783701,1000,314.705354
-218.201259,1000,318.058583
-229.347603,1000,319.479437
-387.432627,1000,322.491477
-421.481816,1000,323.855752
-462.089839,1000,327.170083
-198.032331,1000,328.558381
-237.638828,1000,331.313859
-346.732565,1000,332.739395
-181.632254,1000,336.08534
-191.04971,1000,337.501238
-318.894917,1000,341.158679
-422.096846,1000,342.884056
-444.052415,1000,346.821579
-259.792556,1000,348.824055
-239.077228,1000,352.503428
-195.903709,1000,354.36042
-196.788725,1000,357.712139
-203.55394,1000,359.525632
-170.873394,1000,363.092601
-166.984412,1000,364.868782
-231.057784,1000,368.266189
-208.4234,1000,369.747355
-206.011036,1000,372.810467
-437.521872,1000,374.332541
-166.287633,1000,377.206477
-202.596189,1000,378.55033
-236.791867,1000,381.836333
-218.683088,1000,383.242945
-201.036459,1000,386.477509
-217.921569,1000,387.863098
-210.815524,1000,391.182028
-333.013856,1000,392.570908
-241.121014,1000,395.79224
-365.06429,1000,397.244074
-170.345446,1000,398.672833
-232.310716,1000,401.919507
-242.450634,1000,403.386655
-234.908127,1000,406.871099
-135.67407,1000,408.361016
-173.332322,1000,411.577023
-194.536545,1000,413.131789
-180.295564,1000,416.362777
-199.299343,1000,418.084996
-166.630045,1000,421.687319
-377.125459,1000,423.196023
-314.963348,1000,426.709135
-348.672968,1000,428.075629
-187.152877,724,431.034396
-227.277222,1000,432.351986
-170.823909,1000,435.462994
-127.286774,1000,436.773299
-205.748485,1000,440.056635
-336.297285,1000,441.370671
-163.989252,1000,444.38359
