#{"t_start": 1790150747.269477, "env_id": "None"}
r,l,t
-618.962657,1000,3.034171
-665.55754,1000,4.394931
-635.450952,1000,7.947736
-601.279455,1000,9.257695
-672.388932,1000,12.01754
-664.350624,1000,13.325362
-640.676434,1000,16.734276
-642.680815,1000,18.153392
-650.815708,1000,20.955228
-628.87014,1000,22.29749
-686.969936,1000,29.749588
-645.981978,1000,31.09075
-639.351819,1000,34.040618
-622.33636,1000,35.401249
-618.255232,1000,38.421702
-600.484477,1000,39.801781
-598.171416,1000,43.014679
-597.824135,1000,44.349853
-544.588888,1000,47.47862
-592.309691,1000,48.883406
-585.084697,1000,56.757712
-585.07265,1000,58.07697
-547.532639,1000,61.323203
-578.262073,1000,62.629232
-542.453664,1000,66.051484
-532.251311,1000,67.368391
-613.765991,1000,70.758162
-594.662541,1000,72.098384
-566.379176,1000,75.505901
-489.236471,1000,76.909699
-492.803254,1000,84.868405
-539.455539,1000,86.326046
-586.132373,1000,89.71797
-563.017232,1000,91.135333
-520.588675,1000,94.375348
-496.135562,1000,95.82103
-506.444571,1000,98.961984
-537.096482,1000,100.364671
-507.651468,1000,103.688148
-511.935894,1000,105.070693
-544.678858,1000,113.834584
-593.832944,1000,115.381857
-535.802655,1000,116.748225
-529.299213,1000,119.96474
-511.583413,1000,121.362695
-513.282372,1000,124.778579
-458.499619,1000,126.152364
-459.256511,1000,129.424674
-467.496614,1000,130.745583
-460.69073,1000,133.410757
-468.890618,1000,139.485186
-458.191801,1000,142.671226
-520.291824,1000,144.007882
-469.099721,1000,146.831723
-462.480454,1000,148.188321
-427.476602,1000,151.16843
-456.854345,1000,152.520987
-430.106407,1000,155.641896
-453.768135,1000,156.974492
-486.62005,1000,160.362444
-446.132522,1000,166.61202
-427.472531,1000,169.906462
-450.227412,1000,171.469784
-435.426309,1000,174.823634
-467.159979,1000,176.421683
-481.691877,1000,179.804223
-434.791561,1000,181.265522
-432.921334,1000,184.887466
-462.21006,1000,186.366448
-405.282479,1000,189.405651
-401.790881,1000,196.572229
-498.280358,1000,199.49387
-487.867077,1000,201.057584
-390.761829,1000,204.666134
-377.301186,1000,206.319366
-397.843874,1000,209.714616
-353.644462,1000,211.248175
-413.797315,1000,214.521626
-410.910607,1000,216.102849
-363.369045,1000,219.536601
-378.898455,1000,226.404663
-409.259778,1000,229.58971
-420.864937,1000,231.056957
-406.16763,1000,234.393275
-350.282057,1000,235.944288
-442.745593,1000,237.524675
-309.686288,1000,240.979699
-342.343513,1000,242.550441
-359.221204,1000,246.211115
-326.769842,1000,247.694732
-348.424433,1000,256.298944
-338.342769,1000,257.734555
-330.851436,1000,261.089903
-332.203952,1000,262.711842
-343.280202,1000,265.83576
-344.09984,1000,267.257257
-351.622484,1000,270.600031
-376.413124,1000,272.050809
-324.751706,1000,275.28459
-323.026634,1000,276.666969
-378.71895,1000,284.586957
-347.278197,1000,285.942536
-343.167043,1000,289.156433
-330.652268,1000,290.480424
-320.448743,1000,293.664595
-401.116407,1000,295.027472
-254.848177,1000,297.979501
-413.800475,1000,299.337525
-362.821787,1000,302.372869
-301.242255,1000,303.763231
-336.813713,1000,311.432682
-293.812906,1000,312.754203
-323.240905,1000,316.09418
-383.187808,1000,317.444434
-294.562232,1000,320.896725
-271.40959,1000,322.20456
-379.069056,1000,325.263058
-489.991238,1000,326.602346
-380.981762,1000,329.735785
-250.159705,1000,331.053168
-318.919388,1000,338.412908
-265.606349,1000,339.733609
-254.758564,1000,342.698781
-208.600819,1000,344.125435
-341.070519,1000,346.770026
-311.138972,1000,348.090394
-256.9536,1000,350.606483
-277.898532,1000,351.964149
-260.395283,1000,353.287683
-254.898198,1000,355.764238
-262.937689,1000,361.373191
-249.604566,1000,364.449639
-487.986771,1000,365.80523
-344.779203,1000,368.846017
-308.642855,1000,370.202208
-421.064251,1000,373.219644
-435.783701,1000,374.570206
-218.201259,1000,377.568502
-229.347603,1000,378.891126
-387.432627,1000,381.880995
-421.481816,1000,387.443694
-462.089839,1000,390.234061
-198.032331,1000,391.563194
-237.638828,1000,394.574916
-346.732565,1000,395.910146
-181.632254,1000,398.99298
-191.04971,1000,400.320458
-318.894917,1000,403.353803
-422.096846,1000,404.695305
-444.052415,1000,407.812255
-259.792556,1000,413.399818
-239.077228,1000,416.439718
-195.903709,1000,417.763581
-196.788725,1000,420.804784
-203.55394,1000,422.125442
-170.873394,1000,425.109873
-166.984412,1000,426.431832
-231.057784,1000,429.476397
-208.4234,1000,430.793966
-206.011036,1000,433.786495
-437.521872,1000,439.446773
-166.287633,1000,442.542446
-202.596189,1000,443.860546
-236.791867,1000,447.155999
-218.683088,1000,448.469624
-201.036459,1000,451.82697
-217.921569,1000,453.14801
-210.815524,1000,456.202203
-333.013856,1000,457.551723
-241.121014,1000,460.641135
-365.06429,1000,466.261557
-170.345446,1000,467.57482
-232.310716,1000,470.63867
-242.450634,1000,472.015632
-234.908127,1000,475.037448
-135.67407,1000,476.346941
-173.332322,1000,478.984331
-194.536545,1000,480.297781
-180.295564,1000,482.944895
-199.299343,1000,484.262243
-166.630045,1000,490.94142
-377.125459,1000,492.276725
-314.963348,1000,495.275541
-348.672968,1000,496.607096
-187.152877,724,499.330996
-227.277222,1000,500.662863
-170.823909,1000,503.789596
-127.286774,1000,505.139708
-205.748485,1000,508.462826
-336.297285,1000,509.799559
-163.989252,1000,517.16609
-125.02624,1000,518.512953
-128.226587,1000,521.573767
-156.262552,1000,522.891627
-145.543097,1000,526.217841
-141.641591,1000,527.52246
-183.320672,1000,530.578891
-147.567534,1000,531.896058
-259.426836,1000,534.929933
-147.072438,1000,536.234242
-426.473469,1000,543.555545
-149.412747,1000,544.87044
-136.061746,1000,546.176297
-119.910722,1000,549.355558
-198.74631,1000,550.665499
-130.300361,1000,553.719644
-404.763137,1000,555.065562
-171.027515,1000,558.125879
-398.701259,1000,559.478731
-393.562465,1000,562.572685
-311.510526,1000,568.14772
-342.334797,1000,571.201924
-362.33709,1000,572.573725
-91.01026,1000,575.635333
-149.778417,1000,576.960622
-392.104506,1000,580.089122
-132.703254,1000,581.422651
-127.655427,1000,584.327735
-410.296664,1000,585.718475
-380.738915,1000,588.780092
-114.957056,1000,594.387183
-98.037843,1000,597.513489
-337.166808,1000,598.869627
-152.616167,1000,602.138901
-157.375879,1000,603.468868
-93.920848,1000,606.244226
-103.23175,1000,607.555855
-97.576619,1000,610.644245
-120.63971,1000,611.958481
-85.713629,1000,615.049015
-178.922768,1000,620.534511
-346.469749,1000,623.666337
-130.500592,1000,624.97657
-106.669529,1000,628.015129
-36.860404,1000,629.333838
-73.967973,1000,632.376074
-342.441333,1000,633.720043
-352.477678,1000,636.296323
-93.476349,1000,637.609729
-76.888783,1000,640.087068
-97.069337,1000,645.584812
-21.246564,1000,648.056667
-105.771135,1000,649.37411
-57.613282,1000,652.383917
-106.817235,1000,653.694768
-214.200843,1000,655.026712
-79.109757,1000,657.797572
-58.233767,1000,659.110666
-80.576511,1000,662.17757
-43.429192,1000,663.490619
-73.076054,1000,671.338127
-42.861401,1000,672.660861
-11.299218,1000,675.585534
-39.742248,1000,676.907967
-38.950192,1000,680.097109
-68.584527,1000,681.445854
-42.922344,1000,684.285885
-24.088619,1000,685.632833
-8.146126,1000,688.702788
-307.413869,1000,690.0842
-47.977357,1000,698.327145
-0.067478,1000,699.668913
-303.112743,1000,702.729132
-24.554451,1000,704.065575
-345.449417,1000,707.179641
-28.332629,1000,708.587216
-34.034066,1000,711.581507
-16.250068,1000,713.016263
5.255307,1000,716.259489
-301.076175,1000,717.850111
39.862912,1000,727.160709
-285.772672,1000,728.676178
-201.219772,1000,732.055049
-6.754914,1000,733.574162
12.766837,1000,736.863598
30.345175,1000,738.358037
8.473737,1000,741.67243
-307.969105,1000,743.196747
-19.46641,1000,746.475534
-58.51093,1000,747.936373
-286.858408,1000,756.822627
-11.853445,1000,758.358398
-264.050696,1000,761.703698
-258.611108,1000,763.238689
0.091217,1000,766.428233
3.580225,1000,767.953189
-28.009193,1000,771.302056
-228.007209,1000,772.796629
-168.260609,1000,774.265403
25.400949,1000,777.632528
-258.484053,1000,784.845575
-41.094335,1000,787.731098
-279.366928,1000,789.203096
8.112517,1000,792.623639
3.167903,1000,794.092692
46.416198,1000,797.667973
-232.229775,1000,799.267751
-3.52363,1000,802.62568
-219.265751,1000,804.288467
25.130914,1000,807.809196
-225.460759,1000,815.25473
