#{"t_start": 1790174825.5145156, "env_id": "None"}
r,l,t
-523.429367,1000,3.253852
-628.925447,1000,3.807101
-577.221899,1000,4.398926
-611.307461,1000,4.932786
-595.721708,1000,5.533129
-632.454891,1000,6.060356
-624.071985,1000,6.602854
-610.389363,1000,7.128101
-590.576622,1000,7.647829
-636.543701,1000,8.162884
-623.202517,1000,26.932905
-570.982133,1000,39.09162
-512.615732,1000,51.407879
-505.86517,1000,62.898443
-465.950433,1000,75.289902
-425.440741,1000,86.186586
-417.522083,1000,98.364331
-410.895338,1000,110.292579
-375.180712,1000,121.115523
-345.224558,1000,132.131552
-316.666378,1000,150.961912
-324.384391,1000,163.946568
-323.952721,1000,175.630871
-402.234144,1000,187.097624
-304.526737,1000,198.932478
-281.110214,1000,208.946653
-286.109305,1000,221.828109
-264.84276,1000,234.732489
-242.128843,1000,246.980646
-295.187986,1000,258.684968
-248.395119,1000,277.198923
-283.428991,1000,289.125913
-261.284344,1000,300.359161
-249.385285,1000,310.956837
-240.939777,1000,323.946641
-183.589258,1000,336.758683
-269.342922,1000,349.11136
-242.331072,1000,360.221808
-256.933624,1000,372.837459
-383.751779,1000,382.525633
-340.695428,1000,398.932419
-308.017962,1000,411.366204
-234.782961,1000,424.154621
-457.328626,1000,437.654642
-226.403692,1000,449.247893
-389.000399,1000,461.630883
-259.824875,1000,473.745074
-311.298974,1000,486.458942
-286.744157,1000,499.164864
-426.296797,1000,510.934737
-246.249108,1000,528.656595
-283.048483,1000,540.495355
-247.712696,1000,552.239532
-210.812773,1000,562.03422
-206.126166,1000,574.462447
-474.194723,1000,587.437536
-201.573285,1000,598.324211
-230.788914,1000,609.66536
-321.795155,1000,621.866913
-400.925254,1000,634.323923
-429.128418,1000,651.830015
-453.139675,1000,664.243321
-219.73304,1000,676.838078
-201.83413,1000,689.429968
-387.422223,1000,702.100261
-164.655977,1000,714.75622
-204.474829,1000,727.002302
-407.447704,1000,739.327667
-226.624184,1000,751.835879
-190.888747,1000,762.225056
-216.554874,1000,778.975236
-270.734687,1000,790.996269
-388.329979,1000,803.09894
-184.467017,1000,815.077956
-190.488358,1000,827.566026
-191.065019,1000,840.096895
-324.460327,1000,851.805366
-169.60768,1000,864.08064
-152.712962,1000,874.997162
-106.163172,1000,886.953165
-175.793029,1000,904.853914
-160.771784,1000,916.595481
-405.29984,1000,925.863232
-228.150064,1000,936.191982
-171.884495,1000,946.607424
-127.960552,1000,957.570853
-156.955036,1000,967.629753
-427.271476,1000,980.361761
-141.225891,1000,991.44162
-442.105285,1000,1000.864224
-164.637469,1000,1018.34543
-147.006704,1000,1031.115089
-415.576859,1000,1042.322427
-410.709625,1000,1054.339113
-158.880529,1000,1066.516825
-140.466698,1000,1076.697788
-146.1887,1000,1088.875216
-101.41868,1000,1100.694439
-98.22504,1000,1109.912098
-171.771107,1000,1120.985045
-119.534003,1000,1137.518968
-121.176026,1000,1147.965075
-409.346865,1000,1157.007545
-88.065012,1000,1168.235465
-108.603866,1000,1180.930406
-408.598551,1000,1193.589477
-120.105464,1000,1206.07177
-261.110471,1000,1218.402562
-139.377304,1000,1229.568978
-150.286672,1000,1241.751732
-111.577299,1000,1257.335536
-68.011313,1000,1268.430106
-99.430137,1000,1278.082084
-73.002855,1000,1290.53486
