#{"t_start": 1790178718.8318496, "env_id": "None"}
r,l,t
-618.447032,1000,6.2321
-599.897755,1000,7.236558
-579.503461,1000,8.289456
-633.297896,1000,9.328822
-595.228497,1000,10.373034
-598.979254,1000,11.955688
-619.460587,1000,13.504563
-568.252412,1000,15.064524
-624.605457,1000,16.08158
-634.32182,1000,17.135657
-177.354173,1000,39.785872
-73.590537,1000,57.890326
-79.650807,1000,75.790323
-161.157441,1000,93.094568
-144.623094,1000,110.478901
-259.458136,1000,127.889163
-275.237792,1000,145.602081
-185.381158,1000,163.7103
-72.103024,1000,181.155678
-13.348231,1000,198.407707
3.650277,1000,221.810943
-116.057631,1000,239.87183
-8.220331,1000,256.96583
16.635896,1000,274.131872
-88.045193,1000,291.406717
15.635702,1000,308.615649
-99.064455,1000,326.500532
13.555803,1000,344.212008
-32.04319,1000,361.390773
-30.073677,1000,378.466303
-128.811656,1000,402.320961
-132.090936,1000,420.118652
-115.45367,1000,437.29813
4.164977,1000,454.169791
-115.298882,1000,471.857939
-20.838665,1000,489.309715
28.801809,1000,508.186774
-105.997447,1000,526.408055
-90.737363,1000,544.01254
20.419144,1000,561.322824
-30.51929,1000,585.862373
17.369763,1000,603.331794
33.542933,1000,620.553961
-117.447466,1000,638.341858
30.150642,1000,656.376311
-119.552341,1000,674.049946
-117.697967,1000,691.148826
48.56505,1000,708.242447
-113.750141,1000,725.37314
-114.368824,1000,743.238997
68.571236,1000,767.229771
44.833438,1000,784.426596
95.018546,1000,802.083304
51.480086,1000,820.207436
44.094512,1000,837.4834
68.947278,1000,854.229758
-113.336684,1000,871.351613
91.814765,1000,888.96644
81.320684,1000,906.572578
70.444412,1000,924.253829
-127.508509,1000,948.436249
72.982901,1000,966.080199
96.558699,1000,983.220168
-129.620367,1000,1000.200532
111.93813,1000,1017.278501
-151.799696,1000,1034.31956
90.93492,1000,1051.263899
113.301958,1000,1069.06281
105.08447,1000,1086.871335
104.615302,1000,1104.013034
142.4504,1000,1128.351374
124.570546,1000,1146.063462
118.668658,1000,1163.468161
128.368626,1000,1180.94454
130.199651,1000,1198.000106
139.919773,1000,1214.687945
109.395884,1000,1232.138051
154.314618,1000,1249.73823
111.073553,1000,1266.464568
-163.515168,1000,1283.072618
-139.343857,1000,1308.140133
183.300955,1000,1325.521778
153.178139,1000,1342.183241
-136.002745,1000,1358.989534
156.80877,1000,1375.969956
143.313995,1000,1392.895166
136.570111,1000,1410.207792
162.325525,1000,1427.998581
-148.884183,1000,1445.14621
-137.594467,1000,1462.421641
162.890813,1000,1487.020321
158.200874,1000,1504.187836
175.901165,1000,1521.34023
156.400915,1000,1538.516643
166.296275,1000,1556.522205
182.925147,1000,1574.267652
-165.852758,1000,1591.502237
-145.700635,1000,1608.803149
176.643388,1000,1626.192218
174.634298,1000,1643.798236
-148.44608,1000,1668.671954
-138.00705,1000,1686.499737
161.740811,1000,1704.467199
-165.193059,1000,1722.10963
-146.555995,1000,1739.294251
-142.516388,1000,1756.60931
174.231754,1000,1773.533752
-126.148527,1000,1791.477402
249.446571,1000,1808.87241
186.808137,1000,1825.917464
-142.172601,1000,1850.173019
164.818864,1000,1867.685362
235.670777,1000,1884.853323
190.410599,1000,1902.284392
211.225117,1000,1919.817184
203.630299,1000,1937.361473
-146.526863,1000,1954.57868
187.310333,1000,1972.178255
209.371971,1000,1988.976848
218.949225,1000,2006.106541
-126.402131,1000,2031.437943
238.156033,1000,2048.217354
191.517562,1000,2064.678708
177.921532,1000,2081.747544
190.830959,1000,2099.110179
-170.1462,1000,2115.553133
202.053225,1000,2131.709661
220.281974,1000,2148.143881
225.041592,1000,2164.450387
-140.290573,1000,2180.775332
227.497334,1000,2205.100723
-154.431225,1000,2221.704685
246.386764,1000,2238.143219
222.224272,1000,2254.542319
-132.553885,1000,2271.926093
257.241639,1000,2288.787197
194.556441,1000,2305.438936
-163.757842,1000,2322.087918
215.401051,1000,2338.782519
268.531873,1000,2355.28016
-156.260944,1000,2379.132295
190.728745,1000,2395.494858
-190.016847,1000,2412.044064
-135.18503,1000,2428.417066
204.117016,1000,2445.427292
206.577126,1000,2462.367319
217.753165,1000,2478.966001
