#{"t_start": 1790234063.9064035, "env_id": "None"}
r,l,t,terminated
1206.18896,1000,2.272251,False
1431.263727,1000,3.26651,False
952.388893,1000,4.309499,False
1293.415284,1000,5.333884,False
884.766401,1000,6.347283,False
1148.410315,1000,7.345201,False
1190.298329,1000,8.316322,False
835.123356,1000,9.313988,False
1403.40808,1000,10.30512,False
1516.204444,1000,11.277993,False
1157.099718,1000,25.988638,False
2013.797646,1000,35.174681,False
2180.648368,1000,44.37787,False
2180.126982,1000,53.516827,False
877.577937,1000,62.58056,False
864.826379,1000,71.733875,False
1612.485039,1000,80.923696,False
1948.118405,1000,90.218048,False
1562.039539,1000,99.365781,False
1193.603148,1000,108.555787,False
1470.087288,1000,124.036208,False
2255.312853,1000,133.43496,False
1466.039627,1000,143.157894,False
1350.033194,1000,152.995548,False
1364.240404,1000,162.734875,False
1470.94844,1000,172.38895,False
1511.751598,1000,182.774494,False
1471.163743,1000,192.398988,False
1243.826334,1000,201.640457,False
1259.975356,1000,211.159814,False
1501.242872,1000,226.525972,False
1469.317192,1000,235.74432,False
1448.482193,1000,245.018609,False
1549.916448,1000,254.362427,False
1552.34305,1000,263.694151,False
1493.831493,1000,272.988995,False
1518.406239,1000,282.255099,False
1148.237395,1000,291.451822,False
1069.730502,1000,300.805005,False
1514.029684,1000,309.910614,False
2285.117721,1000,325.408036,False
1579.696852,1000,334.633471,False
1339.794257,1000,343.767406,False
1402.778975,1000,353.043193,False
1363.993159,1000,362.053383,False
2367.309576,1000,371.063903,False
2405.57537,1000,380.212037,False
1936.84633,1000,389.210884,False
2405.603047,1000,398.083356,False
2176.385574,1000,407.14536,False
1864.07826,1000,422.053957,False
2404.483026,1000,430.983289,False
1474.16269,1000,440.051341,False
2404.079039,1000,449.046654,False
1491.987297,1000,458.152887,False
1432.84108,1000,467.303354,False
1479.12412,1000,476.486321,False
2402.772202,1000,485.508164,False
1368.273055,1000,494.642042,False
2331.390309,1000,503.565475,False
1437.163445,1000,518.572528,False
2257.524866,1000,527.547291,False
2397.255464,1000,536.519686,False
1342.394699,1000,545.531631,False
1346.778014,1000,554.532166,False
2054.722132,1000,563.505625,False
2391.195419,1000,572.870266,False
1245.919734,1000,582.061496,False
1384.524744,1000,591.22487,False
1175.127552,1000,600.295168,False
2314.150706,1000,615.252393,False
1316.0807,1000,624.30141,False
2400.667584,1000,633.363917,False
2242.727535,1000,642.418743,False
1366.261348,1000,651.529539,False
1051.000461,1000,660.771042,False
2190.045487,1000,669.863945,False
2304.369204,1000,679.009496,False
2401.374474,1000,688.003475,False
1453.943594,1000,697.110164,False
1353.759422,1000,712.197509,False
2244.388661,1000,721.233893,False
1694.202548,1000,730.331385,False
1417.266061,1000,739.739413,False
1362.057411,1000,749.045406,False
1387.084517,1000,758.236588,False
2401.077462,1000,767.505807,False
1343.67654,1000,776.772831,False
1414.442929,1000,786.092687,False
2310.881719,1000,795.321553,False
1441.092122,1000,810.832069,False
1469.58942,1000,820.239663,False
1581.492012,1000,829.641614,False
1391.09199,1000,839.024182,False
2008.067484,1000,848.286446,False
1494.085534,1000,857.692195,False
2398.991266,1000,867.080518,False
2250.773501,1000,876.372808,False
2217.37307,1000,885.717425,False
2019.647683,1000,895.123626,False
2402.700255,1000,910.441159,False
2404.196796,1000,919.70717,False
2400.79287,1000,929.048882,False
2385.902268,1000,938.483409,False
1573.378343,1000,947.802454,False
1215.999176,1000,957.128275,False
2405.832845,1000,967.015833,False
2148.310113,1000,976.792922,False
1710.094755,1000,985.268903,False
