#{"t_start": 1790227844.330543, "env_id": "None"}
r,l,t
1490.759335,1000,2.153982
1683.461487,1000,3.151722
1243.729267,1000,4.136905
1577.347813,1000,5.135509
1167.837782,1000,6.150085
1437.737764,1000,7.152693
1479.290865,1000,8.210692
1122.178777,1000,9.258891
1654.266185,1000,10.315991
1750.942549,1000,11.381015
1621.753387,1000,25.977882
2194.648392,1000,34.955018
2225.743991,1000,43.813071
2269.393384,1000,52.751867
1376.415798,1000,61.626171
1332.199042,1000,70.504763
1832.165813,1000,79.447628
1748.720232,1000,88.431109
1786.477948,1000,97.370632
1614.497934,1000,106.313733
1770.173371,1000,121.308074
1661.852829,1000,130.253818
1669.243317,1000,139.176111
1618.914651,1000,148.164837
1703.886811,1000,157.164469
1783.74807,1000,166.155802
1848.376781,1000,175.099271
1761.577262,1000,184.125798
1589.247461,1000,193.287215
1565.260587,1000,202.633552
1764.635427,1000,217.763739
1836.136074,1000,226.870447
1904.572624,1000,235.932303
1932.94609,1000,245.08554
1975.54936,1000,254.223364
2064.625532,1000,263.340443
2391.723567,1000,272.533969
1411.419928,1000,281.688832
1427.907975,1000,290.858856
2004.940388,1000,299.969195
2393.510057,1000,314.659076
1964.707528,1000,323.729605
1772.655726,1000,332.883284
1592.402318,1000,342.038317
1679.508494,1000,351.26303
2346.784997,1000,360.493845
2368.304061,1000,369.65893
2114.97827,1000,378.741101
2385.285487,1000,387.961806
2079.819029,1000,397.425184
2141.207328,1000,412.554396
2351.767785,1000,421.634265
1804.980282,1000,430.870301
2359.3213,1000,440.11996
1659.929968,1000,449.276243
1949.058524,1000,458.346426
1785.50084,1000,467.383383
2403.920369,1000,476.420614
1444.277715,1000,485.896773
2340.695733,1000,495.235666
1598.501402,1000,510.435085
2267.804999,1000,519.735834
2399.153279,1000,529.139799
1603.992677,1000,538.509836
1510.234292,1000,547.828129
2153.237794,1000,557.214323
2398.733564,1000,566.483551
1574.560639,1000,575.906753
1564.105997,1000,585.213392
1609.076769,1000,594.725809
2339.636524,1000,610.094216
1442.573292,1000,619.677709
2402.463509,1000,629.094255
2273.255694,1000,638.637107
1575.461472,1000,648.160738
1656.16852,1000,657.712867
2213.926843,1000,667.108495
2342.271354,1000,676.531972
2404.81254,1000,686.02836
1583.101782,1000,695.466137
1580.324606,1000,710.376957
2287.68435,1000,719.712256
2048.224029,1000,729.249049
1622.009528,1000,738.648369
1453.100068,1000,747.959933
1699.220055,1000,757.349118
2367.152151,1000,766.876452
1563.693836,1000,776.365358
1554.804045,1000,786.090987
2314.579924,1000,795.887628
