episode,timestep,episode_reward,episode_length,elapsed_seconds
1,1000,1490.759335,1000,2.153982
2,2000,1683.461487,1000,3.151722
3,3000,1243.729267,1000,4.136905
4,4000,1577.347813,1000,5.135509
5,5000,1167.837782,1000,6.150085
6,6000,1437.737764,1000,7.152693
7,7000,1479.290865,1000,8.210692
8,8000,1122.178777,1000,9.258891
9,9000,1654.266185,1000,10.315991
10,10000,1750.942549,1000,11.381015
11,11000,1621.753387,1000,25.977882
12,12000,2194.648392,1000,34.955018
13,13000,2225.743991,1000,43.813071
14,14000,2269.393384,1000,52.751867
15,15000,1376.415798,1000,61.626171
16,16000,1332.199042,1000,70.504763
17,17000,1832.165813,1000,79.447628
18,18000,1748.720232,1000,88.431109
19,19000,1786.477948,1000,97.370632
20,20000,1614.497934,1000,106.313733
21,21000,1770.173371,1000,121.308074
22,22000,1661.852829,1000,130.253818
23,23000,1669.243317,1000,139.176111
24,24000,1618.914651,1000,148.164837
25,25000,1703.886811,1000,157.164469
26,26000,1783.74807,1000,166.155802
27,27000,1848.376781,1000,175.099271
28,28000,1761.577262,1000,184.125798
29,29000,1589.247461,1000,193.287215
30,30000,1565.260587,1000,202.633552
31,31000,1764.635427,1000,217.763739
32,32000,1836.136074,1000,226.870447
33,33000,1904.572624,1000,235.932303
34,34000,1932.94609,1000,245.08554
35,35000,1975.54936,1000,254.223364
36,36000,2064.625532,1000,263.340443
37,37000,2391.723567,1000,272.533969
38,38000,1411.419928,1000,281.688832
39,39000,1427.907975,1000,290.858856
40,40000,2004.940388,1000,299.969195
41,41000,2393.510057,1000,314.659076
42,42000,1964.707528,1000,323.729605
43,43000,1772.655726,1000,332.883284
44,44000,1592.402318,1000,342.038317
45,45000,1679.508494,1000,351.26303
46,46000,2346.784997,1000,360.493845
47,47000,2368.304061,1000,369.65893
48,48000,2114.97827,1000,378.741101
49,49000,2385.285487,1000,387.961806
50,50000,2079.819029,1000,397.425184
51,51000,2141.207328,1000,412.554396
52,52000,2351.767785,1000,421.634265
53,53000,1804.980282,1000,430.870301
54,54000,2359.3213,1000,440.11996
55,55000,1659.929968,1000,449.276243
56,56000,1949.058524,1000,458.346426
57,57000,1785.50084,1000,467.383383
58,58000,2403.920369,1000,476.420614
59,59000,1444.277715,1000,485.896773
60,60000,2340.695733,1000,495.235666
61,61000,1598.501402,1000,510.435085
62,62000,2267.804999,1000,519.735834
63,63000,2399.153279,1000,529.139799
64,64000,1603.992677,1000,538.509836
65,65000,1510.234292,1000,547.828129
66,66000,2153.237794,1000,557.214323
67,67000,2398.733564,1000,566.483551
68,68000,1574.560639,1000,575.906753
69,69000,1564.105997,1000,585.213392
70,70000,1609.076769,1000,594.725809
71,71000,2339.636524,1000,610.094216
72,72000,1442.573292,1000,619.677709
73,73000,2402.463509,1000,629.094255
74,74000,2273.255694,1000,638.637107
75,75000,1575.461472,1000,648.160738
76,76000,1656.16852,1000,657.712867
77,77000,2213.926843,1000,667.108495
78,78000,2342.271354,1000,676.531972
79,79000,2404.81254,1000,686.02836
80,80000,1583.101782,1000,695.466137
81,81000,1580.324606,1000,710.376957
82,82000,2287.68435,1000,719.712256
83,83000,2048.224029,1000,729.249049
84,84000,1622.009528,1000,738.648369
85,85000,1453.100068,1000,747.959933
86,86000,1699.220055,1000,757.349118
87,87000,2367.152151,1000,766.876452
88,88000,1563.693836,1000,776.365358
89,89000,1554.804045,1000,786.090987
90,90000,2314.579924,1000,795.887628
91,91000,1571.008004,1000,811.806689
92,92000,1610.402098,1000,821.464174
93,93000,2055.929151,1000,831.095981
94,94000,1657.471711,1000,840.566067
95,95000,2238.152666,1000,850.26386
96,96000,1615.463668,1000,860.182164
97,97000,2365.795036,1000,869.8871
98,98000,2277.838082,1000,879.624274
99,99000,2256.709919,1000,889.122211
100,100000,2171.892566,1000,898.644512
101,101000,2406.772856,1000,914.543485
102,102000,2407.63002,1000,924.303936
103,103000,2405.80895,1000,934.052032
104,104000,2393.417244,1000,943.576499
